,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,165,163,160,158,157,154,152,248,247,247,244,244,242,242
1,0,167,164,162,161,158,156,252,251,251,248,248,246,246
2,0,0,168,166,165,162,160,256,255,255,252,252,250,250
3,0,0,0,170,169,166,164,260,259,259,256,256,254,254
4,0,0,0,0,173,170,168,68,263,263,260,260,258,258
5,0,0,0,0,0,174,172,72,69,67,264,264,262,262
6,0,0,0,0,0,0,176,76,73,71,66,64,266,266
7,0,0,0,0,0,0,0,80,77,75,70,68,64,62
8,0,0,0,0,0,0,0,0,81,79,74,72,68,66
9,0,0,0,0,0,0,0,0,0,83,78,76,72,70
10,0,0,0,0,0,0,0,0,0,0,82,80,76,74
11,0,0,0,0,0,0,0,0,0,0,0,84,80,78
12,0,0,0,0,0,0,0,0,0,0,0,0,84,82
13,0,0,0,0,0,0,0,0,0,0,0,0,0,86
